Country,        Avg life,   Happiness,  population/km^2,  PKB $
Spain,          83.99,      6.402,      80,         40139
Poland,         79.27,      5.973,      124,        31939
Germany,        81.88,      6.951,      231,        52559
Italy,          84.01,      5.964,      198,        39637
Switzerland,    84.25,      7.493,      177,        64649
Norway,         82.94,      7.531,      14,         74356
Greece,         82.8,       5.227,      81,         29123
France,         83.13,      6.441,      110,        45775
Russia,         71.34,      5.46,       23,         10219
England,        80.9,       6.94,       281,        47334
Ireland,        82.7,       7.04,       72,         99151
Turkey,         77.69,      4.74,       110,        9587
Belarus,        74.23,      5.82,       47,         7300